Sensor Name,Sensor Type,Timestamp,Temperature ( C ),Humidity ( RH ),Dew Point ( C ),Heat Index ( C ),Feels Like ( C ),Wind Chill ( C ),Barometric Pressure ( HPA ),Accumulated Rain ( MM ),Wind Speed ( KPH ),Wind Average ( KPH ),Wind Direction,Wired Sensor Temperature,Wired Sensor Humidity,Soil & Liquid Temperature,Water Detected,UV Index,Light Intensity,Measured Light,Lightning Strike Count,Lightning Closest Strike Distance
5-in-1 Weather Station,5-in-1 Weather Station,2018/18/02 00:00,14.3,91.0,13,14,15.2,14,1038,0,0,0,270,,,,,,,,,
5-in-1 Weather Station,5-in-1 Weather Station,2018/18/02 00:05,14.3,91.0,13,14,15.1,14,1038,0,0,0,293,,,,,,,,,
5-in-1 Weather Station,5-in-1 Weather Station,2018/18/02 00:10,14.2,93.0,13,14,15.0,14,1038,0,0,0,248,,,,,,,,,
5-in-1 Weather Station,5-in-1 Weather Station,2018/18/02 00:15,14.1,93.0,13,14,14.8,14,1038,0,0,0,225,,,,,,,,,
5-in-1 Weather Station,5-in-1 Weather Station,2018/18/02 00:20,14.0,93.0,13,14,14.7,14,1038,0,0,0,293,,,,,,,,,
5-in-1 Weather Station,5-in-1 Weather Station,2018/18/02 00:25,14.0,93.0,13,14,14.7,14,1038,0,0,0,270,,,,,,,,,
5-in-1 Weather Station,5-in-1 Weather Station,2018/18/02 00:30,13.8,95.0,13,14,14.5,14,1038,0,0,0,270,,,,,,,,,
5-in-1 Weather Station,5-in-1 Weather Station,2018/18/02 00:35,13.7,96.0,13,14,14.4,14,1038,1,0,0,270,,,,,,,,,
5-in-1 Weather Station,5-in-1 Weather Station,2018/18/02 00:40,13.7,96.0,13,14,14.4,14,1038,1,0,0,270,,,,,,,,,
5-in-1 Weather Station,5-in-1 Weather Station,2018/18/02 00:45,13.7,96.0,13,14,14.4,14,1038,1,0,0,248,,,,,,,,,
5-in-1 Weather Station,5-in-1 Weather Station,2018/18/02 00:50,13.5,98.0,13,13,14.1,13,1038,2,0,0,270,,,,,,,,,
5-in-1 Weather Station,5-in-1 Weather Station,2018/18/02 00:55,13.3,98.0,13,13,13.9,13,1038,2,0,0,248,,,,,,,,,
5-in-1 Weather Station,5-in-1 Weather Station,2018/18/02 01:00,13.3,98.0,13,13,13.9,13,1038,2,0,0,180,,,,,,,,,
5-in-1 Weather Station,5-in-1 Weather Station,2018/18/02 01:05,13.5,98.0,13,13,14.1,13,1037,2,0,0,248,,,,,,,,,
5-in-1 Weather Station,5-in-1 Weather Station,2018/18/02 01:10,13.5,98.0,13,13,14.1,13,1037,2,0,0,248,,,,,,,,,
5-in-1 Weather Station,5-in-1 Weather Station,2018/18/02 01:15,13.5,98.0,13,13,14.1,13,1037,2,0,0,270,,,,,,,,,
5-in-1 Weather Station,5-in-1 Weather Station,2018/18/02 01:20,13.5,98.0,13,13,14.1,13,1037,2,0,0,270,,,,,,,,,
5-in-1 Weather Station,5-in-1 Weather Station,2018/18/02 01:25,13.3,98.0,13,13,13.9,13,1037,2,0,0,270,,,,,,,,,
5-in-1 Weather Station,5-in-1 Weather Station,2018/18/02 01:30,13.3,98.0,13,13,13.8,13,1037,2,0,0,203,,,,,,,,,
5-in-1 Weather Station,5-in-1 Weather Station,2018/18/02 01:35,13.3,98.0,13,13,13.5,13,1037,2,2,0,293,,,,,,,,,
5-in-1 Weather Station,5-in-1 Weather Station,2018/18/02 01:40,13.2,98.0,13,13,13.7,13,1037,3,0,0,203,,,,,,,,,
5-in-1 Weather Station,5-in-1 Weather Station,2018/18/02 01:45,13.3,98.0,13,13,13.8,13,1037,3,0,0,203,,,,,,,,,
